epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8453249931335449,0.3281659185886383,0.001,0.8577166795730591,0.29423069953918457
1,0.8565541505813599,0.3005968928337097,0.001,0.8599166870117188,0.2923748791217804
2,0.8593833446502686,0.29595375061035156,0.001,0.8590999841690063,0.2919691205024719
3,0.8607041835784912,0.2930872142314911,0.001,0.8624333143234253,0.286094069480896
4,0.8608375191688538,0.2910534143447876,0.001,0.8618833422660828,0.28982338309288025
5,0.8612750172615051,0.2905818223953247,0.001,0.8589000105857849,0.2905036509037018
6,0.8628749847412109,0.2890070080757141,0.001,0.8616999983787537,0.28758788108825684
7,0.8625291585922241,0.287916898727417,0.001,0.8632000088691711,0.28519541025161743
8,0.8635749816894531,0.2875432074069977,0.001,0.8635166883468628,0.28445735573768616
9,0.8628208041191101,0.2866702079772949,0.001,0.8588833212852478,0.2927127480506897
10,0.8636000156402588,0.28650617599487305,0.001,0.8640333414077759,0.28459542989730835
11,0.8641541600227356,0.285678505897522,0.001,0.8630499839782715,0.28696542978286743
12,0.8638416528701782,0.28577905893325806,0.001,0.8636833429336548,0.28454598784446716
13,0.8641499876976013,0.2850765287876129,0.001,0.8637499809265137,0.2846725881099701
14,0.8644791841506958,0.2844538986682892,0.001,0.8630499839782715,0.28497734665870667
15,0.8644416928291321,0.28442493081092834,0.001,0.863349974155426,0.28416019678115845
16,0.8648083209991455,0.2841143012046814,0.001,0.8610666394233704,0.2908531427383423
17,0.8648583292961121,0.2837657332420349,0.001,0.8628166913986206,0.28512948751449585
18,0.8653791546821594,0.2831278443336487,0.001,0.862583339214325,0.2859334647655487
19,0.8651250004768372,0.28339719772338867,0.001,0.8615833520889282,0.2897765636444092
20,0.8648250102996826,0.28311678767204285,0.001,0.8637333512306213,0.2836896777153015
21,0.8648166656494141,0.2827095091342926,0.001,0.8630499839782715,0.2840386927127838
22,0.8651250004768372,0.28264951705932617,0.001,0.8640666604042053,0.28455862402915955
23,0.8652083277702332,0.2824689447879791,0.001,0.8646500110626221,0.28324413299560547
24,0.8653749823570251,0.28217950463294983,0.001,0.8648333549499512,0.285068541765213
25,0.8654500246047974,0.28202059864997864,0.001,0.8622833490371704,0.2844221889972687
26,0.8656666874885559,0.2815180718898773,0.001,0.8636666536331177,0.28506243228912354
27,0.8651750087738037,0.2816864848136902,0.001,0.8648499846458435,0.28318867087364197
28,0.8660083413124084,0.28122609853744507,0.001,0.8623499870300293,0.287248820066452
29,0.8662916421890259,0.28120651841163635,0.001,0.8649666905403137,0.2823745012283325
30,0.8658833503723145,0.2812601327896118,0.001,0.8618999719619751,0.2849189043045044
31,0.8660208582878113,0.28127580881118774,0.001,0.8627833127975464,0.28606992959976196
32,0.8662916421890259,0.28063082695007324,0.001,0.8638666868209839,0.28375524282455444
33,0.8660958409309387,0.2804807722568512,0.001,0.8640666604042053,0.28387802839279175
34,0.8660416603088379,0.2804769277572632,0.001,0.8633000254631042,0.28633084893226624
35,0.8661083579063416,0.28085681796073914,0.001,0.8642833232879639,0.2831151783466339
36,0.8661291599273682,0.2803802192211151,0.001,0.8638166785240173,0.28381699323654175
37,0.8664500117301941,0.27960720658302307,0.001,0.8641666769981384,0.2845797836780548
38,0.8666083216667175,0.28014177083969116,0.001,0.864716649055481,0.2831093966960907
39,0.8665791749954224,0.27976861596107483,0.001,0.8643666505813599,0.2844516634941101
40,0.8678125143051147,0.2767990827560425,0.000100000005,0.8645833134651184,0.28192922472953796
41,0.867900013923645,0.2761840224266052,0.000100000005,0.8647333383560181,0.282161146402359
42,0.8684083223342896,0.2757119834423065,0.000100000005,0.8648333549499512,0.28191205859184265
43,0.8683458566665649,0.2753022313117981,0.000100000005,0.864799976348877,0.28196361660957336
44,0.8684333562850952,0.27520260214805603,0.000100000005,0.8648166656494141,0.28215378522872925
45,0.8684666752815247,0.2757091522216797,0.000100000005,0.8649500012397766,0.28235629200935364
46,0.868441641330719,0.27552229166030884,0.000100000005,0.8644499778747559,0.282341867685318
47,0.8682833313941956,0.2752467393875122,0.000100000005,0.864633321762085,0.2821338474750519
48,0.8686708211898804,0.27497878670692444,0.000100000005,0.8648499846458435,0.2824465036392212
49,0.8684124946594238,0.2749916911125183,0.000100000005,0.8647666573524475,0.282295286655426
50,0.8681166768074036,0.27518874406814575,0.000100000005,0.8649333119392395,0.28219151496887207
51,0.8684541583061218,0.2746656835079193,1.0000001e-05,0.8649333119392395,0.28217437863349915
52,0.868779182434082,0.2742566466331482,1.0000001e-05,0.8649166822433472,0.2822360098361969
53,0.8687666654586792,0.27479565143585205,1.0000001e-05,0.8649500012397766,0.282187819480896
54,0.8688041567802429,0.2746380567550659,1.0000001e-05,0.8648666739463806,0.2821936011314392
55,0.8687499761581421,0.2745289206504822,1.0000001e-05,0.8648333549499512,0.28220126032829285
56,0.8686875104904175,0.27472034096717834,1.0000001e-05,0.8651333451271057,0.28220462799072266
