epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.858787477016449,0.30008211731910706,0.001,0.8735499978065491,0.2618250548839569
1,0.876800000667572,0.25870761275291443,0.001,0.879883348941803,0.24962149560451508
2,0.8794583082199097,0.2523203492164612,0.001,0.8812166452407837,0.24926793575286865
3,0.8813250064849854,0.24874895811080933,0.001,0.8846499919891357,0.24147377908229828
4,0.8828833103179932,0.2458503544330597,0.001,0.8756166696548462,0.25281426310539246
5,0.883316695690155,0.2441752403974533,0.001,0.886900007724762,0.2363061159849167
6,0.8843333125114441,0.2417776882648468,0.001,0.8863666653633118,0.23951506614685059
7,0.8854541778564453,0.2410057932138443,0.001,0.885366678237915,0.239467591047287
8,0.884987473487854,0.2403404414653778,0.001,0.885533332824707,0.23919609189033508
9,0.8855833411216736,0.23986980319023132,0.001,0.8864666819572449,0.23991139233112335
10,0.8863208293914795,0.23870280385017395,0.001,0.8854666948318481,0.23693159222602844
11,0.8864333629608154,0.23808498680591583,0.001,0.8865166902542114,0.2382821887731552
12,0.886662483215332,0.23789896070957184,0.001,0.8863999843597412,0.23798741400241852
13,0.8868749737739563,0.23688606917858124,0.001,0.8848833441734314,0.23721683025360107
14,0.8872083425521851,0.23702390491962433,0.001,0.8882166743278503,0.23665717244148254
15,0.8871833086013794,0.23572206497192383,0.001,0.8859500288963318,0.23822760581970215
16,0.8896833062171936,0.23116952180862427,0.000100000005,0.8884999752044678,0.2323179841041565
17,0.8903625011444092,0.23016473650932312,0.000100000005,0.8883000016212463,0.23306526243686676
18,0.8901333212852478,0.22971433401107788,0.000100000005,0.8886666893959045,0.23272664844989777
19,0.8904374837875366,0.22954702377319336,0.000100000005,0.8888166546821594,0.23218634724617004
20,0.8899666666984558,0.22941318154335022,0.000100000005,0.8885999917984009,0.2324984073638916
21,0.890458345413208,0.22871384024620056,0.000100000005,0.8886333107948303,0.23234525322914124
22,0.8903124928474426,0.22950854897499084,0.000100000005,0.8889166712760925,0.23233968019485474
23,0.8902208209037781,0.22883418202400208,0.000100000005,0.888616681098938,0.23231759667396545
24,0.8902833461761475,0.22910082340240479,0.000100000005,0.8887166380882263,0.23224793374538422
25,0.8908166885375977,0.2286674827337265,0.000100000005,0.8880666494369507,0.23255877196788788
26,0.8904500007629395,0.2286708801984787,0.000100000005,0.8886500000953674,0.23233561217784882
27,0.8900583386421204,0.2287875860929489,0.000100000005,0.8885833621025085,0.23252750933170319
28,0.8907250165939331,0.22842206060886383,0.000100000005,0.889033317565918,0.2322944551706314
29,0.8908583521842957,0.22854869067668915,0.000100000005,0.8886333107948303,0.23242314159870148
30,0.8907541632652283,0.22777141630649567,1.0000001e-05,0.888866662979126,0.2322607785463333
31,0.8909624814987183,0.22782057523727417,1.0000001e-05,0.8888000249862671,0.23224085569381714
32,0.8912333250045776,0.22776859998703003,1.0000001e-05,0.8887166380882263,0.23224252462387085
33,0.8911458253860474,0.22737102210521698,1.0000001e-05,0.8888333439826965,0.23223437368869781
34,0.8910333514213562,0.2277098000049591,1.0000001e-05,0.888700008392334,0.23225398361682892
35,0.8909124732017517,0.22766728699207306,1.0000001e-05,0.888700008392334,0.23226825892925262
